Timestamp,I_data,R_data
0.0,22.9,0.0
1.0,36.1,3.3
2.0,37.1,7.7
3.0,46.6,14.1
4.0,47.3,22.6
5.0,59.5,25.7
6.0,53.3,34.7
7.0,77.4,49.4
8.0,80.3,58.9
9.0,89.2,70.0
10.0,91.2,88.0
11.0,98.0,92.8
12.0,129.2,92.2
13.0,120.3,119.0
14.0,139.9,143.7
15.0,124.8,161.4
16.0,141.7,184.7
17.0,170.4,187.2
18.0,180.8,252.9
19.0,200.4,246.7
20.0,230.2,282.4
21.0,232.8,327.1
22.0,268.6,301.8
23.0,291.8,361.8
24.0,256.0,444.3
25.0,362.7,421.3
26.0,348.3,520.4
27.0,359.7,510.9
28.0,390.4,586.3
29.0,419.8,655.9
30.0,490.1,727.3
31.0,436.8,815.9
32.0,575.7,1091.2
33.0,649.7,937.9
34.0,603.6,1146.0
35.0,760.2,1269.8
36.0,844.8,1208.3
37.0,995.3,1376.9
38.0,1129.1,1573.0
39.0,1038.7,1418.0
40.0,1128.1,2049.0
41.0,1491.2,2017.6
42.0,1403.0,2271.4
43.0,1448.4,2097.2
44.0,1233.7,2130.3
45.0,1798.9,2518.5
46.0,1616.5,2778.7
47.0,1866.2,3465.6
48.0,2013.0,2873.5
49.0,2192.6,4059.0
50.0,2208.3,4152.5
51.0,2549.4,4425.0
52.0,2740.1,5032.5
53.0,2994.6,4479.3
54.0,2803.3,6028.4
55.0,3355.2,5925.0
56.0,3388.9,7475.4
57.0,4266.7,7885.7
58.0,3727.6,6648.7
59.0,4269.4,8649.4
60.0,4775.7,9855.6
