Timestamp,I_data,R_data
0.0,21.4,0.0
1.0,31.3,3.8
2.0,38.9,7.7
3.0,44.3,14.5
4.0,46.9,22.6
5.0,53.9,29.1
6.0,60.8,37.8
7.0,64.2,46.6
8.0,75.6,51.5
9.0,82.4,66.6
10.0,90.4,72.0
11.0,103.9,85.0
12.0,110.8,108.7
13.0,116.6,131.2
14.0,118.8,149.8
15.0,125.0,148.2
16.0,137.4,164.2
17.0,165.1,208.7
18.0,189.9,222.0
19.0,194.9,244.8
20.0,220.9,286.7
21.0,206.8,326.7
22.0,241.7,328.3
23.0,261.2,370.9
24.0,278.3,452.6
25.0,321.6,454.8
26.0,359.8,500.2
27.0,368.4,601.7
28.0,382.3,582.4
29.0,433.7,639.9
30.0,438.8,737.3
31.0,511.9,737.5
32.0,536.7,948.0
33.0,591.3,959.4
34.0,726.5,1007.9
35.0,784.7,1140.1
36.0,825.7,1259.3
37.0,777.8,1316.8
38.0,839.8,1574.7
39.0,1034.3,1592.5
40.0,1127.7,1828.7
41.0,1219.3,1784.2
42.0,1329.9,2278.4
43.0,1272.2,2099.5
44.0,1561.7,2267.3
45.0,1514.2,2557.5
46.0,1691.0,2968.6
47.0,1907.5,3074.5
48.0,2183.1,3189.3
49.0,2094.4,3522.3
50.0,2246.1,4433.0
51.0,2371.7,4013.7
52.0,2450.3,4418.0
53.0,3154.6,5346.7
54.0,3132.5,6054.5
55.0,3409.3,6323.5
56.0,3743.0,7085.2
57.0,4162.1,6634.3
58.0,3867.9,7594.4
59.0,4635.2,8528.4
60.0,4938.0,8809.1
